ptf, etaf, rapidity
-1.288000, 2.421500, -1.286576
-1.288000, 2.460000, -1.286621
-1.288000, 2.498500, -1.286663
-1.288000, 2.537000, -1.286703
-1.288000, 2.575500, -1.286741
-1.288000, 2.614000, -1.286778
-1.288000, 2.652500, -1.286813
-1.288000, 2.691000, -1.286847
-1.288000, 2.729500, -1.286879
-1.288000, 2.768000, -1.286910
-1.288000, 2.806500, -1.286940
-1.288000, 2.845000, -1.286968
-1.288000, 2.883500, -1.286996
-1.288000, 2.922000, -1.287022
-1.288000, 2.960500, -1.287047
-1.288000, 2.999000, -1.287071
-1.288000, 3.037500, -1.287095
-1.288000, 3.076000, -1.287117
-1.288000, 3.114500, -1.287139
-1.288000, 3.153000, -1.287160
-1.288000, 3.191500, -1.287180
-1.288000, 3.230000, -1.287199
-1.288000, 3.268500, -1.287218
-1.288000, 3.307000, -1.287236
-1.288000, 3.345500, -1.287254
-1.288000, 3.384000, -1.287270
-1.288000, 3.422500, -1.287287
-1.288000, 3.461000, -1.287302
-1.288000, 3.499500, -1.287318
-1.288000, 3.538000, -1.287333
-1.288000, 3.576500, -1.287347
-1.288000, 3.615000, -1.287361
-1.288000, 3.653500, -1.287374
-1.288000, 3.692000, -1.287387
-1.288000, 3.730500, -1.287400
-1.288000, 3.769000, -1.287412
-1.288000, 3.807500, -1.287424
-1.288000, 3.846000, -1.287435
-1.288000, 3.884500, -1.287446
-1.288000, 3.923000, -1.287457
-1.288000, 3.961500, -1.287467
-1.260000, 0.150000, -1.007399
-1.260000, 0.188500, -1.080077
-1.260000, 0.227000, -1.126754
-1.260000, 0.265500, -1.157999
-1.260000, 0.304000, -1.179722
-1.260000, 0.342500, -1.195338
-1.260000, 0.381000, -1.206892
-1.260000, 0.419500, -1.215656
-1.260000, 0.458000, -1.222447
-1.260000, 0.496500, -1.227808
-1.260000, 0.535000, -1.232111
-1.260000, 0.573500, -1.235613
-1.260000, 0.612000, -1.238501
-1.260000, 0.650500, -1.240908
-1.260000, 0.689000, -1.242935
-1.260000, 0.727500, -1.244658
-1.260000, 0.766000, -1.246134
-1.260000, 0.804500, -1.247407
-1.260000, 0.843000, -1.248514
-1.260000, 0.881500, -1.249482
-1.260000, 0.920000, -1.250333
-1.260000, 0.958500, -1.251085
-1.260000, 0.997000, -1.251752
-1.260000, 1.035500, -1.252348
-1.260000, 1.074000, -1.252882
-1.260000, 1.112500, -1.253362
-1.260000, 1.151000, -1.253795
-1.260000, 1.189500, -1.254187
-1.260000, 1.228000, -1.254543
-1.260000, 1.266500, -1.254868
-1.260000, 1.305000, -1.255164
-1.260000, 1.343500, -1.255436
-1.260000, 1.382000, -1.255685
-1.260000, 1.420500, -1.255914
-1.260000, 1.459000, -1.256126
-1.260000, 1.497500, -1.256322
-1.260000, 1.536000, -1.256503
-1.260000, 1.574500, -1.256671
-1.260000, 1.613000, -1.256827
-1.260000, 1.651500, -1.256973
-1.260000, 1.690000, -1.257109
-1.260000, 1.728500, -1.257236
-1.260000, 1.767000, -1.257355
-1.260000, 1.805500, -1.257466
-1.260000, 1.844000, -1.257570
-1.260000, 1.882500, -1.257668
-1.260000, 1.921000, -1.257760
-1.260000, 1.959500, -1.257847
-1.260000, 1.998000, -1.257929
-1.260000, 2.036500, -1.258007
-1.260000, 2.075000, -1.258080
-1.260000, 2.113500, -1.258149
-1.260000, 2.152000, -1.258214
-1.260000, 2.190500, -1.258276
-1.260000, 2.229000, -1.258335
-1.260000, 2.267500, -1.258391
-1.260000, 2.306000, -1.258444
-1.260000, 2.344500, -1.258495
-1.260000, 2.383000, -1.258543
-1.260000, 2.421500, -1.258589
-1.260000, 2.460000, -1.258633
-1.260000, 2.498500, -1.258674
-1.260000, 2.537000, -1.258714
-1.260000, 2.575500, -1.258752
-1.260000, 2.614000, -1.258789
-1.260000, 2.652500, -1.258824
-1.260000, 2.691000, -1.258857
-1.260000, 2.729500, -1.258889
-1.260000, 2.768000, -1.258920
-1.260000, 2.806500, -1.258949
-1.260000, 2.845000, -1.258977
-1.260000, 2.883500, -1.259004
-1.260000, 2.922000, -1.259030
-1.260000, 2.960500, -1.259055
-1.260000, 2.999000, -1.259079
-1.260000, 3.037500, -1.259103
-1.260000, 3.076000, -1.259125
-1.260000, 3.114500, -1.259146
-1.260000, 3.153000, -1.259167
-1.260000, 3.191500, -1.259187
-1.260000, 3.230000, -1.259206
-1.260000, 3.268500, -1.259225
-1.260000, 3.307000, -1.259243
-1.260000, 3.345500, -1.259260
-1.260000, 3.384000, -1.259277
-1.260000, 3.422500, -1.259293
-1.260000, 3.461000, -1.259309
-1.260000, 3.499500, -1.259324
-1.260000, 3.538000, -1.259338
-1.260000, 3.576500, -1.259353
-1.260000, 3.615000, -1.259366
-1.260000, 3.653500, -1.259380
-1.260000, 3.692000, -1.259392
-1.260000, 3.730500, -1.259405
-1.260000, 3.769000, -1.259417
-1.260000, 3.807500, -1.259429
-1.260000, 3.846000, -1.259440
-1.260000, 3.884500, -1.259451
-1.260000, 3.923000, -1.259462
-1.260000, 3.961500, -1.259472
-1.232000, 0.150000, -0.982299
-1.232000, 0.188500, -1.054022
-1.232000, 0.227000, -1.100139
-1.232000, 0.265500, -1.131031
-1.232000, 0.304000, -1.152520
-1.232000, 0.342500, -1.167973
-1.232000, 0.381000, -1.179408
-1.232000, 0.419500, -1.188083
-1.232000, 0.458000, -1.194807
-1.232000, 0.496500, -1.200116
-1.232000, 0.535000, -1.204376
-1.232000, 0.573500, -1.207845
-1.232000, 0.612000, -1.210704
-1.232000, 0.650500, -1.213088
-1.232000, 0.689000, -1.215096
-1.232000, 0.727500, -1.216802
-1.232000, 0.766000, -1.218264
-1.232000, 0.804500, -1.219526
-1.232000, 0.843000, -1.220622
-1.232000, 0.881500, -1.221580
-1.232000, 0.920000, -1.222423
-1.232000, 0.958500, -1.223168
-1.232000, 0.997000, -1.223830
-1.232000, 1.035500, -1.224420
-1.232000, 1.074000, -1.224948
-1.232000, 1.112500, -1.225424
-1.232000, 1.151000, -1.225853
-1.232000, 1.189500, -1.226241
-1.232000, 1.228000, -1.226594
-1.232000, 1.266500, -1.226915
-1.232000, 1.305000, -1.227209
-1.232000, 1.343500, -1.227478
-1.232000, 1.382000, -1.227725
-1.232000, 1.420500, -1.227952
-1.232000, 1.459000, -1.228162
-1.232000, 1.497500, -1.228356
-1.232000, 1.536000, -1.228536
-1.232000, 1.574500, -1.228702
-1.232000, 1.613000, -1.228857
-1.232000, 1.651500, -1.229001
-1.232000, 1.690000, -1.229136
-1.232000, 1.728500, -1.229262
-1.232000, 1.767000, -1.229379
-1.232000, 1.805500, -1.229489
-1.232000, 1.844000, -1.229593
-1.232000, 1.882500, -1.229690
-1.232000, 1.921000, -1.229781
-1.232000, 1.959500, -1.229867
-1.232000, 1.998000, -1.229949
-1.232000, 2.036500, -1.230025
-1.232000, 2.075000, -1.230098
-1.232000, 2.113500, -1.230166
-1.232000, 2.152000, -1.230231
-1.232000, 2.190500, -1.230292
-1.232000, 2.229000, -1.230351
-1.232000, 2.267500, -1.230406
-1.232000, 2.306000, -1.230459
-1.232000, 2.344500, -1.230509
-1.232000, 2.383000, -1.230557
-1.232000, 2.421500, -1.230602
-1.232000, 2.460000, -1.230645
-1.232000, 2.498500, -1.230687
-1.232000, 2.537000, -1.230726
-1.232000, 2.575500, -1.230764
-1.232000, 2.614000, -1.230800
-1.232000, 2.652500, -1.230835
-1.232000, 2.691000, -1.230868
-1.232000, 2.729500, -1.230899
-1.232000, 2.768000, -1.230930
-1.232000, 2.806500, -1.230959
-1.232000, 2.845000, -1.230987
-1.232000, 2.883500, -1.231014
-1.232000, 2.922000, -1.231039
-1.232000, 2.960500, -1.231064
-1.232000, 2.999000, -1.231088
-1.232000, 3.037500, -1.231111
-1.232000, 3.076000, -1.231133
-1.232000, 3.114500, -1.231154
-1.232000, 3.153000, -1.231175
-1.232000, 3.191500, -1.231195
-1.232000, 3.230000, -1.231214
-1.232000, 3.268500, -1.231232
-1.232000, 3.307000, -1.231250
-1.232000, 3.345500, -1.231267
-1.232000, 3.384000, -1.231284
-1.232000, 3.422500, -1.231300
-1.232000, 3.461000, -1.231315
-1.232000, 3.499500, -1.231330
-1.232000, 3.538000, -1.231345
-1.232000, 3.576500, -1.231359
-1.232000, 3.615000, -1.231372
-1.232000, 3.653500, -1.231385
-1.232000, 3.692000, -1.231398
-1.232000, 3.730500, -1.231410
-1.232000, 3.769000, -1.231422
-1.232000, 3.807500, -1.231434
-1.232000, 3.846000, -1.231445
-1.232000, 3.884500, -1.231456
-1.232000, 3.923000, -1.231467
-1.232000, 3.961500, -1.231477
-1.204000, 0.150000, -0.957317
-1.204000, 0.188500, -1.028050
-1.204000, 0.227000, -1.073585
-1.204000, 0.265500, -1.104110
-1.204000, 0.304000, -1.125355
-1.204000, 0.342500, -1.140636
-1.204000, 0.381000, -1.151948
-1.204000, 0.419500, -1.160531
-1.204000, 0.458000, -1.167184
-1.204000, 0.496500, -1.172437
-1.204000, 0.535000, -1.176654
-1.204000, 0.573500, -1.180087
-1.204000, 0.612000, -1.182917
-1.204000, 0.650500, -1.185277
-1.204000, 0.689000, -1.187264
-1.204000, 0.727500, -1.188953
-1.204000, 0.766000, -1.190400
-1.204000, 0.804500, -1.191649
-1.204000, 0.843000, -1.192735
-1.204000, 0.881500, -1.193684
-1.204000, 0.920000, -1.194518
-1.204000, 0.958500, -1.195256
-1.204000, 0.997000, -1.195910
-1.204000, 1.035500, -1.196495
-1.204000, 1.074000, -1.197018
-1.204000, 1.112500, -1.197489
-1.204000, 1.151000, -1.197913
-1.204000, 1.189500, -1.198298
-1.204000, 1.228000, -1.198647
-1.204000, 1.266500, -1.198966
-1.204000, 1.305000, -1.199256
-1.204000, 1.343500, -1.199523
-1.204000, 1.382000, -1.199767
-1.204000, 1.420500, -1.199992
-1.204000, 1.459000, -1.200200
