pt, Ei, Ef, Ei/Ef, Ef/Ei
3.120000, 76.641016, 74.709608, 1.025852, 0.974799
3.130000, 76.873936, 74.948790, 1.025686, 0.974957
3.140000, 77.106897, 75.187972, 1.025522, 0.975113
3.150000, 77.339900, 75.427154, 1.025359, 0.975268
3.160000, 77.572944, 75.666338, 1.025198, 0.975422
3.170000, 77.806028, 75.905523, 1.025038, 0.975574
3.180000, 78.039153, 76.144708, 1.024880, 0.975724
3.190000, 78.272316, 76.383894, 1.024723, 0.975874
3.200000, 78.505520, 76.623081, 1.024568, 0.976022
3.210000, 78.738762, 76.862269, 1.024414, 0.976168
3.220000, 78.972042, 77.101457, 1.024261, 0.976313
3.230000, 79.205361, 77.340647, 1.024110, 0.976457
3.240000, 79.438718, 77.579837, 1.023961, 0.976600
3.250000, 79.672112, 77.819028, 1.023813, 0.976741
3.260000, 79.905543, 78.058220, 1.023666, 0.976881
3.270000, 80.139010, 78.297412, 1.023521, 0.977020
3.280000, 80.372514, 78.536605, 1.023376, 0.977158
3.290000, 80.606055, 78.775799, 1.023234, 0.977294
3.300000, 80.839630, 79.014994, 1.023092, 0.977429
3.310000, 81.073242, 79.254190, 1.022952, 0.977563
3.320000, 81.306888, 79.493386, 1.022813, 0.977696
3.330000, 81.540569, 79.732583, 1.022676, 0.977827
3.340000, 81.774284, 79.971781, 1.022539, 0.977958
3.350000, 82.008034, 80.210979, 1.022404, 0.978087
3.360000, 82.241817, 80.450178, 1.022270, 0.978215
3.370000, 82.475634, 80.689378, 1.022137, 0.978342
3.380000, 82.709484, 80.928578, 1.022006, 0.978468
3.390000, 82.943366, 81.167780, 1.021876, 0.978593
3.400000, 83.177282, 81.406981, 1.021746, 0.978717
3.410000, 83.411229, 81.646184, 1.021618, 0.978839
3.420000, 83.645209, 81.885387, 1.021491, 0.978961
3.430000, 83.879220, 82.124591, 1.021365, 0.979081
3.440000, 84.113262, 82.363796, 1.021241, 0.979201
3.450000, 84.347336, 82.603001, 1.021117, 0.979320
3.460000, 84.581441, 82.842207, 1.020995, 0.979437
3.470000, 84.815576, 83.081413, 1.020873, 0.979554
3.480000, 85.049741, 83.320620, 1.020753, 0.979669
3.490000, 85.283937, 83.559828, 1.020633, 0.979784
3.500000, 85.518162, 83.799036, 1.020515, 0.979898
3.510000, 85.752417, 84.038245, 1.020398, 0.980010
3.520000, 85.986701, 84.277455, 1.020281, 0.980122
3.530000, 86.221014, 84.516665, 1.020166, 0.980233
3.540000, 86.455356, 84.755876, 1.020051, 0.980343
3.550000, 86.689726, 84.995087, 1.019938, 0.980452
3.560000, 86.924124, 85.234299, 1.019826, 0.980560
3.570000, 87.158551, 85.473512, 1.019714, 0.980667
3.580000, 87.393005, 85.712725, 1.019604, 0.980773
3.590000, 87.627487, 85.951939, 1.019494, 0.980879
3.600000, 87.861996, 86.191153, 1.019385, 0.980983
3.610000, 88.096533, 86.430368, 1.019278, 0.981087
3.620000, 88.331096, 86.669584, 1.019171, 0.981190
3.630000, 88.565685, 86.908800, 1.019065, 0.981292
3.640000, 88.800302, 87.148016, 1.018960, 0.981393
3.650000, 89.034944, 87.387233, 1.018855, 0.981494
3.660000, 89.269612, 87.626451, 1.018752, 0.981593
3.670000, 89.504306, 87.865669, 1.018649, 0.981692
3.680000, 89.739025, 88.104888, 1.018548, 0.981790
3.690000, 89.973770, 88.344107, 1.018447, 0.981887
3.700000, 90.208540, 88.583327, 1.018347, 0.981984
3.710000, 90.443335, 88.822548, 1.018247, 0.982080
3.720000, 90.678154, 89.061768, 1.018149, 0.982174
3.730000, 90.912998, 89.300990, 1.018051, 0.982269
3.740000, 91.147866, 89.540212, 1.017955, 0.982362
3.750000, 91.382759, 89.779434, 1.017858, 0.982455
3.760000, 91.617675, 90.018657, 1.017763, 0.982547
3.770000, 91.852615, 90.257880, 1.017669, 0.982638
3.780000, 92.087578, 90.497104, 1.017575, 0.982729
3.790000, 92.322565, 90.736329, 1.017482, 0.982819
3.800000, 92.557575, 90.975554, 1.017390, 0.982908
3.810000, 92.792607, 91.214779, 1.017298, 0.982996
3.820000, 93.027663, 91.454005, 1.017207, 0.983084
3.830000, 93.262741, 91.693231, 1.017117, 0.983171
3.840000, 93.497841, 91.932458, 1.017028, 0.983258
3.850000, 93.732964, 92.171685, 1.016939, 0.983343
3.860000, 93.968109, 92.410913, 1.016851, 0.983428
3.870000, 94.203275, 92.650141, 1.016763, 0.983513
3.880000, 94.438464, 92.889370, 1.016677, 0.983597
3.890000, 94.673673, 93.128599, 1.016591, 0.983680
3.900000, 94.908905, 93.367828, 1.016505, 0.983763
3.910000, 95.144157, 93.607058, 1.016421, 0.983845
3.920000, 95.379430, 93.846289, 1.016337, 0.983926
3.930000, 95.614725, 94.085520, 1.016253, 0.984007
3.940000, 95.850040, 94.324751, 1.016171, 0.984087
3.950000, 96.085375, 94.563983, 1.016088, 0.984166
3.960000, 96.320731, 94.803215, 1.016007, 0.984245
3.970000, 96.556107, 95.042448, 1.015926, 0.984324
3.980000, 96.791503, 95.281681, 1.015846, 0.984401
3.990000, 97.026919, 95.520914, 1.015766, 0.984478
4.000000, 97.262355, 95.760148, 1.015687, 0.984555
