ptf, phif, pti, pti/ptf
0.190000, 2.136283, 2.107920, 11.094318
0.190000, 2.199115, 2.117266, 11.143507
0.190000, 2.261947, 2.126157, 11.190298
0.190000, 2.324779, 2.134562, 11.234538
0.190000, 2.387610, 2.142456, 11.276082
0.190000, 2.450442, 2.149812, 11.314798
0.190000, 2.513274, 2.156607, 11.350562
0.190000, 2.576106, 2.162820, 11.383262
0.190000, 2.638938, 2.168431, 11.412795
0.190000, 2.701770, 2.173423, 11.439070
0.190000, 2.764602, 2.177781, 11.462005
0.190000, 2.827433, 2.181491, 11.481532
0.190000, 2.890265, 2.184542, 11.497589
0.190000, 2.953097, 2.186924, 11.510128
0.190000, 3.015929, 2.188631, 11.519112
0.190000, 3.078761, 2.189658, 11.524514
0.200000, -3.141593, 2.200000, 11.000000
0.200000, -3.078761, 2.199641, 10.998206
0.200000, -3.015929, 2.198566, 10.992829
0.200000, -2.953097, 2.196777, 10.983886
0.200000, -2.890265, 2.194280, 10.971402
0.200000, -2.827433, 2.191083, 10.955416
0.200000, -2.764602, 2.187195, 10.935974
0.200000, -2.701770, 2.182627, 10.913136
0.200000, -2.638938, 2.177394, 10.886971
0.200000, -2.576106, 2.171512, 10.857558
0.200000, -2.513274, 2.164997, 10.824987
0.200000, -2.450442, 2.157872, 10.789359
0.200000, -2.387610, 2.150157, 10.750785
0.200000, -2.324779, 2.141877, 10.709386
0.200000, -2.261947, 2.133059, 10.665293
0.200000, -2.199115, 2.123730, 10.618649
0.200000, -2.136283, 2.113921, 10.569604
0.200000, -2.073451, 2.103664, 10.518321
0.200000, -2.010619, 2.092994, 10.464969
0.200000, -1.947787, 2.081946, 10.409731
0.200000, -1.884956, 2.070559, 10.352794
0.200000, -1.822124, 2.058872, 10.294358
0.200000, -1.759292, 2.046926, 10.234629
0.200000, -1.696460, 2.034765, 10.173823
0.200000, -1.633628, 2.022432, 10.112162
0.200000, -1.570796, 2.009975, 10.049876
0.200000, -1.507964, 1.997440, 9.987201
0.200000, -1.445133, 1.984876, 9.924381
0.200000, -1.382301, 1.972332, 9.861662
0.200000, -1.319469, 1.959859, 9.799296
0.200000, -1.256637, 1.947508, 9.737539
0.200000, -1.193805, 1.935330, 9.676648
0.200000, -1.130973, 1.923376, 9.616882
0.200000, -1.068142, 1.911700, 9.558500
0.200000, -1.005310, 1.900352, 9.501761
0.200000, -0.942478, 1.889384, 9.446920
