ptf,yi,yf,cosh(yf)/cosh(yi)
1.81705,1.487,1.49734,1.00939
1.8209,1.48712,1.49735,1.00929
1.82475,1.48724,1.49736,1.00919
1.8286,1.48735,1.49737,1.00909
1.83245,1.48747,1.49738,1.009
1.8363,1.48758,1.49739,1.00891
1.84015,1.48769,1.4974,1.00881
1.844,1.4878,1.49742,1.00872
1.84785,1.48791,1.49743,1.00863
1.8517,1.48802,1.49744,1.00855
1.85555,1.48813,1.49745,1.00846
1.8594,1.48823,1.49746,1.00837
1.86325,1.48834,1.49747,1.00829
1.8671,1.48844,1.49748,1.00821
1.87095,1.48854,1.49749,1.00812
1.8748,1.48864,1.4975,1.00804
1.87865,1.48874,1.49751,1.00796
1.8825,1.48883,1.49752,1.00788
1.88635,1.48893,1.49753,1.00781
1.8902,1.48902,1.49754,1.00773
1.89405,1.48911,1.49755,1.00765
1.8979,1.48921,1.49756,1.00758
1.90175,1.4893,1.49757,1.00751
1.9056,1.48939,1.49758,1.00743
1.90945,1.48948,1.49759,1.00736
1.9133,1.48956,1.4976,1.00729
1.91715,1.48965,1.49761,1.00722
1.921,1.48973,1.49762,1.00715
1.92485,1.48982,1.49763,1.00708
1.9287,1.4899,1.49764,1.00702
1.93255,1.48998,1.49765,1.00695
1.9364,1.49007,1.49766,1.00689
1.94025,1.49015,1.49766,1.00682
1.9441,1.49023,1.49767,1.00676
1.94795,1.4903,1.49768,1.00669
1.9518,1.49038,1.49769,1.00663
1.95565,1.49046,1.4977,1.00657
1.9595,1.49053,1.49771,1.00651
1.96335,1.49061,1.49772,1.00645
1.9672,1.49068,1.49773,1.00639
1.97105,1.49075,1.49774,1.00633
1.9749,1.49083,1.49775,1.00628
1.97875,1.4909,1.49775,1.00622
1.9826,1.49097,1.49776,1.00616
1.98645,1.49104,1.49777,1.00611
1.9903,1.49111,1.49778,1.00605
1.99415,1.49117,1.49779,1.006
1.998,1.49124,1.4978,1.00594
2.00185,1.49131,1.49781,1.00589
2.0057,1.49137,1.49781,1.00584
2.00955,1.49144,1.49782,1.00579
2.0134,1.4915,1.49783,1.00574
2.01725,1.49157,1.49784,1.00569
2.0211,1.49163,1.49785,1.00564
2.02495,1.49169,1.49786,1.00559
2.0288,1.49175,1.49786,1.00554
2.03265,1.49181,1.49787,1.00549
2.0365,1.49187,1.49788,1.00545
2.04035,1.49193,1.49789,1.0054
2.0442,1.49199,1.4979,1.00535
2.04805,1.49205,1.4979,1.00531
2.0519,1.49211,1.49791,1.00526
2.05575,1.49216,1.49792,1.00522
2.0596,1.49222,1.49793,1.00517
2.06345,1.49228,1.49793,1.00513
2.0673,1.49233,1.49794,1.00509
2.07115,1.49239,1.49795,1.00504
2.075,1.49244,1.49796,1.005
2.07885,1.49249,1.49797,1.00496
2.0827,1.49255,1.49797,1.00492
2.08655,1.4926,1.49798,1.00488
2.0904,1.49265,1.49799,1.00484
2.09425,1.4927,1.49799,1.0048
2.0981,1.49275,1.498,1.00476
2.10195,1.4928,1.49801,1.00472
2.1058,1.49285,1.49802,1.00468
2.10965,1.4929,1.49802,1.00464
2.1135,1.49295,1.49803,1.00461
2.11735,1.493,1.49804,1.00457
2.1212,1.49305,1.49805,1.00453
2.12505,1.49309,1.49805,1.0045
2.1289,1.49314,1.49806,1.00446
2.13275,1.49319,1.49807,1.00442
2.1366,1.49323,1.49807,1.00439
2.14045,1.49328,1.49808,1.00435
2.1443,1.49332,1.49809,1.00432
2.14815,1.49337,1.49809,1.00429
2.152,1.49341,1.4981,1.00425
2.15585,1.49345,1.49811,1.00422
2.1597,1.4935,1.49811,1.00419
2.16355,1.49354,1.49812,1.00415
2.1674,1.49358,1.49813,1.00412
2.17125,1.49362,1.49813,1.00409
2.1751,1.49366,1.49814,1.00406
2.17895,1.49371,1.49815,1.00403
2.1828,1.49375,1.49815,1.00399
2.18665,1.49379,1.49816,1.00396
2.1905,1.49383,1.49817,1.00393
2.19435,1.49387,1.49817,1.0039
2.1982,1.4939,1.49818,1.00387
2.20205,1.49394,1.49819,1.00384
2.2059,1.49398,1.49819,1.00382
2.20975,1.49402,1.4982,1.00379
2.2136,1.49406,1.4982,1.00376
2.21745,1.49409,1.49821,1.00373
2.2213,1.49413,1.49822,1.0037
2.22515,1.49417,1.49822,1.00367
2.229,1.4942,1.49823,1.00365
2.23285,1.49424,1.49824,1.00362
2.2367,1.49428,1.49824,1.00359
2.24055,1.49431,1.49825,1.00357
2.2444,1.49435,1.49825,1.00354
2.24825,1.49438,1.49826,1.00351
2.2521,1.49441,1.49827,1.00349
2.25595,1.49445,1.49827,1.00346
2.2598,1.49448,1.49828,1.00344
2.26365,1.49452,1.49828,1.00341
2.2675,1.49455,1.49829,1.00339
2.27135,1.49458,1.49829,1.00336
2.2752,1.49461,1.4983,1.00334
2.27905,1.49465,1.49831,1.00332
2.2829,1.49468,1.49831,1.00329
2.28675,1.49471,1.49832,1.00327
2.2906,1.49474,1.49832,1.00325
2.29445,1.49477,1.49833,1.00322
2.2983,1.4948,1.49833,1.0032
2.30215,1.49483,1.49834,1.00318
2.306,1.49486,1.49835,1.00315
2.30985,1.49489,1.49835,1.00313
2.3137,1.49492,1.49836,1.00311
2.31755,1.49495,1.49836,1.00309
2.3214,1.49498,1.49837,1.00307
2.32525,1.49501,1.49837,1.00305
2.3291,1.49504,1.49838,1.00302
2.33295,1.49507,1.49838,1.003
2.3368,1.4951,1.49839,1.00298
2.34065,1.49512,1.49839,1.00296
2.3445,1.49515,1.4984,1.00294
2.34835,1.49518,1.4984,1.00292
2.3522,1.49521,1.49841,1.0029
2.35605,1.49523,1.49841,1.00288
2.3599,1.49526,1.49842,1.00286
2.36375,1.49529,1.49843,1.00284
2.3676,1.49531,1.49843,1.00282
2.37145,1.49534,1.49844,1.0028
2.3753,1.49536,1.49844,1.00279
2.37915,1.49539,1.49845,1.00277
2.383,1.49542,1.49845,1.00275
2.38685,1.49544,1.49846,1.00273
2.3907,1.49547,1.49846,1.00271
2.39455,1.49549,1.49847,1.00269
2.3984,1.49552,1.49847,1.00268
2.40225,1.49554,1.49848,1.00266
2.4061,1.49556,1.49848,1.00264
2.40995,1.49559,1.49848,1.00262
2.4138,1.49561,1.49849,1.00261
2.41765,1.49564,1.49849,1.00259
2.4215,1.49566,1.4985,1.00257
2.42535,1.49568,1.4985,1.00256
2.4292,1.49571,1.49851,1.00254
2.43305,1.49573,1.49851,1.00252
2.4369,1.49575,1.49852,1.00251
2.44075,1.49577,1.49852,1.00249
2.4446,1.4958,1.49853,1.00247
2.44845,1.49582,1.49853,1.00246
2.4523,1.49584,1.49854,1.00244
2.45615,1.49586,1.49854,1.00243
2.46,1.49588,1.49855,1.00241
2.46385,1.49591,1.49855,1.00239
2.4677,1.49593,1.49855,1.00238
2.47155,1.49595,1.49856,1.00236
2.4754,1.49597,1.49856,1.00235
2.47925,1.49599,1.49857,1.00233
2.4831,1.49601,1.49857,1.00232
2.48695,1.49603,1.49858,1.00231
2.4908,1.49605,1.49858,1.00229
2.49465,1.49607,1.49859,1.00228
2.4985,1.49609,1.49859,1.00226
2.50235,1.49611,1.49859,1.00225
2.5062,1.49613,1.4986,1.00223
2.51005,1.49615,1.4986,1.00222
2.5139,1.49617,1.49861,1.00221
2.51775,1.49619,1.49861,1.00219
2.5216,1.49621,1.49862,1.00218
2.52545,1.49623,1.49862,1.00217
2.5293,1.49625,1.49862,1.00215
2.53315,1.49627,1.49863,1.00214
2.537,1.49628,1.49863,1.00213
2.54085,1.4963,1.49864,1.00211
2.5447,1.49632,1.49864,1.0021
2.54855,1.49634,1.49864,1.00209
2.5524,1.49636,1.49865,1.00207
2.55625,1.49638,1.49865,1.00206
2.5601,1.49639,1.49866,1.00205
2.56395,1.49641,1.49866,1.00204
2.5678,1.49643,1.49867,1.00203
2.57165,1.49645,1.49867,1.00201
2.5755,1.49646,1.49867,1.002
2.57935,1.49648,1.49868,1.00199
2.5832,1.4965,1.49868,1.00198
2.58705,1.49651,1.49868,1.00197
2.5909,1.49653,1.49869,1.00195
2.59475,1.49655,1.49869,1.00194
2.5986,1.49656,1.4987,1.00193
2.60245,1.49658,1.4987,1.00192
2.6063,1.4966,1.4987,1.00191
2.61015,1.49661,1.49871,1.0019
2.614,1.49663,1.49871,1.00189
2.61785,1.49665,1.49872,1.00187
2.6217,1.49666,1.49872,1.00186
2.62555,1.49668,1.49872,1.00185
2.6294,1.49669,1.49873,1.00184
2.63325,1.49671,1.49873,1.00183
2.6371,1.49672,1.49873,1.00182
2.64095,1.49674,1.49874,1.00181
2.6448,1.49675,1.49874,1.0018
2.64865,1.49677,1.49875,1.00179
2.6525,1.49678,1.49875,1.00178
2.65635,1.4968,1.49875,1.00177
2.6602,1.49681,1.49876,1.00176
2.66405,1.49683,1.49876,1.00175
2.6679,1.49684,1.49876,1.00174
2.67175,1.49686,1.49877,1.00173
2.6756,1.49687,1.49877,1.00172
2.67945,1.49689,1.49877,1.00171
2.6833,1.4969,1.49878,1.0017
2.68715,1.49691,1.49878,1.00169
2.691,1.49693,1.49878,1.00168
2.69485,1.49694,1.49879,1.00167
2.6987,1.49696,1.49879,1.00166
2.70255,1.49697,1.49879,1.00165
2.7064,1.49698,1.4988,1.00164
2.71025,1.497,1.4988,1.00163
2.7141,1.49701,1.4988,1.00163
2.71795,1.49702,1.49881,1.00162
2.7218,1.49704,1.49881,1.00161
2.72565,1.49705,1.49882,1.0016
2.7295,1.49706,1.49882,1.00159
2.73335,1.49708,1.49882,1.00158
2.7372,1.49709,1.49882,1.00157
2.74105,1.4971,1.49883,1.00156
2.7449,1.49711,1.49883,1.00155
2.74875,1.49713,1.49883,1.00155
2.7526,1.49714,1.49884,1.00154
2.75645,1.49715,1.49884,1.00153
2.7603,1.49716,1.49884,1.00152
2.76415,1.49718,1.49885,1.00151
2.768,1.49719,1.49885,1.0015
2.77185,1.4972,1.49885,1.0015
2.7757,1.49721,1.49886,1.00149
2.77955,1.49723,1.49886,1.00148
2.7834,1.49724,1.49886,1.00147
2.78725,1.49725,1.49887,1.00146
2.7911,1.49726,1.49887,1.00146
2.79495,1.49727,1.49887,1.00145
2.7988,1.49728,1.49888,1.00144
2.80265,1.4973,1.49888,1.00143
2.8065,1.49731,1.49888,1.00143
2.81035,1.49732,1.49889,1.00142
2.8142,1.49733,1.49889,1.00141
2.81805,1.49734,1.49889,1.0014
2.8219,1.49735,1.49889,1.0014
2.82575,1.49736,1.4989,1.00139
