etaf, phif, dF
-4.700000, 0.360000, 0.001251
-4.700000, 0.380000, 0.001218
-4.700000, 0.400000, 0.001184
-4.700000, 0.420000, 0.001151
-4.700000, 0.440000, 0.001117
-4.700000, 0.460000, 0.001084
-4.700000, 0.480000, 0.001050
-4.700000, 0.500000, 0.001017
-4.700000, 0.520000, 0.000985
-4.700000, 0.540000, 0.000952
-4.700000, 0.560000, 0.000921
-4.700000, 0.580000, 0.000889
-4.700000, 0.600000, 0.000859
-4.700000, 0.620000, 0.000829
-4.700000, 0.640000, 0.000800
-4.700000, 0.660000, 0.000771
-4.700000, 0.680000, 0.000744
-4.700000, 0.700000, 0.000717
-4.700000, 0.720000, 0.000691
-4.700000, 0.740000, 0.000665
-4.700000, 0.760000, 0.000641
-4.700000, 0.780000, 0.000617
-4.700000, 0.800000, 0.000594
-4.700000, 0.820000, 0.000572
-4.700000, 0.840000, 0.000550
-4.700000, 0.860000, 0.000530
-4.700000, 0.880000, 0.000510
-4.700000, 0.900000, 0.000491
-4.700000, 0.920000, 0.000472
-4.700000, 0.940000, 0.000454
-4.700000, 0.960000, 0.000437
-4.700000, 0.980000, 0.000421
-4.700000, 1.000000, 0.000405
-4.600000, -1.000000, 0.000409
-4.600000, -0.980000, 0.000425
-4.600000, -0.960000, 0.000441
-4.600000, -0.940000, 0.000459
-4.600000, -0.920000, 0.000476
-4.600000, -0.900000, 0.000495
-4.600000, -0.880000, 0.000514
-4.600000, -0.860000, 0.000534
-4.600000, -0.840000, 0.000555
-4.600000, -0.820000, 0.000577
-4.600000, -0.800000, 0.000599
-4.600000, -0.780000, 0.000622
-4.600000, -0.760000, 0.000646
-4.600000, -0.740000, 0.000671
-4.600000, -0.720000, 0.000696
-4.600000, -0.700000, 0.000723
-4.600000, -0.680000, 0.000750
-4.600000, -0.660000, 0.000778
-4.600000, -0.640000, 0.000806
-4.600000, -0.620000, 0.000836
-4.600000, -0.600000, 0.000866
-4.600000, -0.580000, 0.000896
-4.600000, -0.560000, 0.000928
-4.600000, -0.540000, 0.000959
-4.600000, -0.520000, 0.000992
-4.600000, -0.500000, 0.001025
-4.600000, -0.480000, 0.001058
-4.600000, -0.460000, 0.001091
-4.600000, -0.440000, 0.001125
-4.600000, -0.420000, 0.001159
-4.600000, -0.400000, 0.001193
-4.600000, -0.380000, 0.001226
-4.600000, -0.360000, 0.001259
-4.600000, -0.340000, 0.001292
-4.600000, -0.320000, 0.001324
-4.600000, -0.300000, 0.001356
-4.600000, -0.280000, 0.001386
-4.600000, -0.260000, 0.001415
-4.600000, -0.240000, 0.001444
-4.600000, -0.220000, 0.001470
-4.600000, -0.200000, 0.001495
-4.600000, -0.180000, 0.001519
-4.600000, -0.160000, 0.001540
-4.600000, -0.140000, 0.001559
-4.600000, -0.120000, 0.001576
-4.600000, -0.100000, 0.001591
-4.600000, -0.080000, 0.001603
-4.600000, -0.060000, 0.001612
-4.600000, -0.040000, 0.001619
-4.600000, -0.020000, 0.001623
-4.600000, 0.000000, 0.001625
-4.600000, 0.020000, 0.001623
-4.600000, 0.040000, 0.001619
-4.600000, 0.060000, 0.001612
-4.600000, 0.080000, 0.001603
-4.600000, 0.100000, 0.001591
-4.600000, 0.120000, 0.001576
